msData_ID	spotInd	include	name	group	class	batch	startRT_seconds	endRT_seconds	comment
20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING	0	False	Spot_0	unknown	unknown	1	10.15000016	308.5039902	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING	1	True	Airblank_1	Airblank	unknown	1	326.7699909	367.3630142	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING	2	True	Airblank_2	Airblank	unknown	1	376.4960003	419.1180038	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING	3	True	Airblank_3	Airblank	unknown	1	428.2509899	469.8579884	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING	4	True	Airblank_4	Airblank	unknown	1	478.9920044	521.6139793	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING	5	True	Airblank_5	Airblank	unknown	1	529.7320175	572.3539925	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING	6	True	Airblank_6	Airblank	unknown	1	581.4870071	623.0949783	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING	7	True	Airblank_7	Airblank	unknown	1	632.227993	674.8500252	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING	8	True	Airblank_8	Airblank	unknown	1	683.9829826	725.5899811	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING	9	True	Airblank_9	Airblank	unknown	1	734.7229958	776.3310242	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING	10	True	Airblank_10	Airblank	unknown	1	785.4639816	828.0860138	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING	11	True	Airblank_11	Airblank	unknown	1	837.2190285	878.8260269	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING	12	True	Airblank_12	Airblank	unknown	1	887.9600143	923.4780121	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-AIRBLANK-AFTERCLEANING', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY	0	False	Spot_0	Inj2ul	unknown	2	37.54999995	229.3489981	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY	1	True	Inj10ul_1	Inj10ul	unknown	2	247.6150131	288.2070065	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY	2	True	Inj10ul_2	Inj10ul	unknown	2	297.3409939	339.9629974	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY	3	True	Inj10ul_3	Inj10ul	unknown	2	348.081007	390.7030106	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY	4	True	Inj10ul_4	Inj10ul	unknown	2	399.8359966	441.4439964	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY	5	True	Inj10ul_5	Inj10ul	unknown	2	450.5770111	493.1989861	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY	6	True	Inj10ul_6	Inj10ul	unknown	2	501.3170242	543.9389992	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY	7	True	Inj2ul_1	Inj2ul	unknown	2	553.0729866	595.6950188	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY	8	True	Inj2ul_2	Inj2ul	unknown	2	603.8129997	646.4349747	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY	9	True	Inj2ul_3	Inj2ul	unknown	2	655.5690193	698.1909943	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY	10	True	Inj2ul_4	Inj2ul	unknown	2	706.3089752	748.9310074	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY	11	True	Inj2ul_5	Inj2ul	unknown	2	757.0500183	799.6719933	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY	12	True	Inj2ul_6	Inj2ul	unknown	2	808.8050079	844.3230057	spot automatically extracted by _get_separate_chronogram_indices(msData, '20221222-HE-350V-400C-POS-MESH-N002-REPEATABILITY', intensityThreshold = 50000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
